id	Concepticon id	Definition
Nature:ford (crossing).N	2818	A shallow place on a river which may be crossed by wading.
Nature:forest.N	420	A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.
Nature:freeze.V	1431	To reach a chemically solid state, by the process of cooling.
Nature:fresh.A	243	Recently made, produced, or harvested (e.g. bread, scent, etc.).
Nature:full moon.N	3690	The lunar phase when the moon is fully illuminated by the sun and appears in the sky as a full circle.
Nature:gravel.N	3028	An uncosolidated mixture of pebbles and/or rock fragments of different sizes.
Nature:ground.N	2159	The top layer of the earth.
Nature:guava.N	3981	Fruit from the myrtle family, native to Latin America.
Nature:gulf.N	608	An inlet of the sea of large areal proportions, more indented than a bay and generally more enclosed.
Nature:hail.N	609	Precipitation in the form of balls or irregular lumps of ice.
Nature:hailing.V	104	To fall from the clouds in form of ball or lumps of ice.
Nature:headwaters.N	2672	The source of a river or stream.
Nature:heat up.V	1341	To cause an increase in temperature of an object or space; to cause something to become hot.
Nature:heat.N	612	A form of energy that is transferred by a difference in temperature: it is equal to the total kinetic energy of the atoms or molecules of a system.
Nature:hew.V	553	To chop away at; to whittle down; to mow down.
Nature:high tide.N	613	The level of water when the tide is at its highest level.
Nature:hill.N	614	A natural elevation of the land surface, usually rounded.
Nature:hinder.V	554	To make difficult to accomplish; to frustrate, act as obstacle; to keep back; to delay or impede.
Nature:horizon.N	2287	The apparent line that separates earth from sky, the line that divides all visible directions into two categories: those that intersect the Earth's surface, and those that do not.
Nature:hot weather.N	3693	A period of unusually high temperatures.
Nature:humid.A	143	(Of the air) Containing a high quantity of water vapor.
Nature:ice.N	617	The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals.
Nature:inflated.A	535	Exaggerated or made bigger.
Nature:island.N	622	A land mass, especially one smaller than a continent, entirely surrounded by water.
Nature:item.N	2981	Any object that can be grasped.
Nature:ivory.N	3800	The hard, white substance which forms the tusks of animals like elephants, narwhals, or walruses and is often considered a valuable material.
Nature:jungle.N	3808	A type of forest with thick and overgrown ground vegetation, typically associated with tropical or humid climate zones.
Nature:lagoon.N	623	A body of water cut off from the open sea by coral reefs or sand bars.
Nature:lake.N	624	An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.
Nature:land.N	626	A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization. (Source: WHIT)
Nature:landscape.N	2342	The visible features of a land.
Nature:lawn.N	3990	An area of grass, especially near to a house or in a park, that is cut regularly to keep it short.
Nature:light (ignite).V	737	To start a fire or light a flame.
Nature:light (radiation).N	630	Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED)
Nature:lightning.N	1654	The flash of light caused by the discharge of atmospheric electrical charge.
Nature:lime (material).N	2540	A calcium-containing inorganic material in which carbonates, oxides and hydroxides predominate.
Nature:liquid.A	58	Existing as or having characteristics of a liquid.
Nature:low tide.N	1026	the tide at the point of maximum ebb.
Nature:mainland.N	166	A large and continuous mass of land representing most of a region or a country but excluding outlying islands.
Nature:marsh.N	3688	A muddy and poorly drained area of land, usually near a lake or a river.
Nature:match.N	1133	A stick with inflammable substance on one end that can be set on fire by friction.
Nature:melt.V	2334	To make a transition from a solid state (as of frozen water) to a liquid state.
Nature:mess.N	1083	A state of confusion and disorderliness.
Nature:metal.N	2244	A material (an element, compound, or alloy) that is typically hard, opaque, shiny, and has good electrical and thermal conductivity.
Nature:moon or month.N	2463	Either the moon as the object or the time period.
Nature:moorland.N	2962	Moorland or moor is a type of habitat found in upland areas in temperate grasslands, savannas, and shrublands and montane grasslands and shrublands biomes, characterised by low-growing vegetation on acidic soils.
Nature:mountain foot.N	2122	Lower part in front of a mountain, before the mountain begins.
Nature:mountain or hill.N	2118	A small or big rise in the surface of the earth.
Nature:mountain ridge.N	2123	A geological feature consisting of a chain of mountains or hills that form a continuous elevated crest for some distance.
Nature:mountain.N	639	A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area.
Nature:mountainous.A	3755	A landscape with lots of mountains.
Nature:mud.N	640	A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments. (Source: WHIT)
Nature:muggy.A	3757	A type of weather when it is hot and the air is damp.
Nature:mush.N	400	Soaked clay or soil; very soft ground.
Nature:nature.N	3897	The physical world including all living things as well as the land and the seas.
Nature:new moon.N	3691	The lunar phase when the moon appears in the sky as a slender crescent shortly after its conjunction with the sun.
Nature:ocean.N	645	The mass of water occupying all of the Earth's surface not occupied by land, but excluding all lakes and inland seas.
Nature:oil (hydrophobic liquid).N	2556	Any viscous liquid substance which is hydrophobic and lipophilic.
Nature:pattern.N	2988	A pattern is a discernible regularity in the world or in a man-made design.
Nature:pebbles.N	961	Small stone abraded by water.
Nature:pit (pothole).N	2539	A naturally formed or excavated hole in the ground.
Nature:plain.N	652	Level or rolling open land, usually at a low elevation.
Nature:plateau.N	3988	A large flat area of land that is high above sea level.
Nature:pond or lake.N	3321	A body of water of undefined size, e.g. ranging from small ponds to large lakes.
Nature:pond.N	2035	A natural body of standing fresh water occupying a small surface depression, usually smaller than a lake and larger than a pool.
Nature:precipice or slope.N	3297	A very steep decline, typically found in the mountains or on shores, or a stretch of ground forming a geological incline, e.g. a hillside.
